Country Name,Country Code,Classification Name,Classification Code,Series Name,Series Code,2011 [YR2011],2017 [YR2017]
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,9140000:ACTUAL MISCELLANEOUS GOODS AND SERVICES,9140000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,9250000:DOMESTIC ABSORPTION,9250000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,9260000:INDIVIDUAL CONSUMPTION EXPENDITURE BY HOUSEHOLDS WITHOUT HOUSING,9260000,..,..
Afghanistan,AFG,"Expenditure, market exchange rate-based (US$, billions)",CD,9270000:GENERAL GOVERNMENT FINAL CONSUMPTION EXPENDITURE,9270000,..,..
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1000000:GROSS DOMESTIC PRODUCT,1000000,12.9015079313048,13.0636040599282
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1101000:FOOD AND NON-ALCOHOLIC BEVERAGES,1101000,3.90762621156612,4.13924850012543
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1101100:FOOD,1101100,3.76139889988129,4.01370093679862
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1101110:Bread and cereals,1101110,0.617133572019349,0.604708729794722
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1101120:Meat,1101120,0.937222468908878,0.892937548262365
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1101130:Fish and seafood,1101130,0.161674767353194,0.155126299991842
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,"1101140:Milk, cheese and eggs",1101140,0.642343201060438,0.638887581434673
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1101150:Oils and fats,1101150,0.25416239763615,0.205811265347478
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1101160:Fruit,1101160,0.485202453233773,0.680438360662813
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1101170:Vegetables,1101170,0.461961549898165,0.667079164078836
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,"1101180:Sugar, jam, honey, chocolate and confectionery",1101180,0.165327118551326,0.135335291120905
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1101190:Food products n.e.c. (Class),1101190,0.0363713712200198,0.0333766961049921
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1101200:NON-ALCOHOLIC BEVERAGES,1101200,0.146227311684826,0.12554756332681
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,"1102000:ALCOHOLIC BEVERAGES, TOBACCO AND NARCOTICS",1102000,0.313417400223984,0.317047015946716
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1102100:ALCOHOLIC BEVERAGES,1102100,0.174082902009623,0.172652425175468
Albania,ALB,"Expenditure, market exchange rate-based (US$, billions)",CD,1102200:TOBACCO,1102200,0.139334498204441,0.144394590762827
