"means from Table 1 of Orfanos, P., Naska, A., Trichopoulou, A. et al. Eating out of home: energy, macro- and micronutrient intakes in 10 European countries. The European Prospective Investigation into Cancer and Nutrition. Eur J Clin Nutr 63 (Suppl 4), S239–S262 (2009). https://doi.org/10.1038/ejcn.2009.84",
country,kcal_shr
Greece,0.154
Italy,0.146555556
France,0.1595
Germany,0.2145
The Netherlands,0.20825
United Kingdom,0.239
Denmark,0.2795
Sweden,0.261
Norway,0.2455
